audio_path,placa,electrodo,corriente,sesion,segment_index,segment_duration,overlap_ratio
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,0,30.0,0.5
Placa_3mm/E7018/DC/240826-120415_Audio/240826-120415_6013-2.wav,Placa_3mm,E7018,DC,240826-120415_Audio,1,30.0,0.5
Placa_6mm/E6013/AC/240923-131855_Audio/240923-131855_6013-2.wav,Placa_6mm,E6013,AC,240923-131855_Audio,0,30.0,0.5
Placa_6mm/E6013/AC/240923-131855_Audio/240923-131855_6013-2.wav,Placa_6mm,E6013,AC,240923-131855_Audio,1,30.0,0.5
Placa_6mm/E6013/DC/240912-141756_Audio/240912-141756_6013-2.wav,Placa_6mm,E6013,DC,240912-141756_Audio,0,30.0,0.5
Placa_6mm/E6010/DC/240926-132919_Audio/240926-132919_6013-2.wav,Placa_6mm,E6010,DC,240926-132919_Audio,0,30.0,0.5
Placa_6mm/E6010/DC/240926-132919_Audio/240926-132919_6013-2.wav,Placa_6mm,E6010,DC,240926-132919_Audio,1,30.0,0.5
Placa_6mm/E7018/DC/240826-135150_Audio/240826-135150_6013-2.wav,Placa_6mm,E7018,DC,240826-135150_Audio,0,30.0,0.5
Placa_6mm/E7018/DC/240826-135150_Audio/240826-135150_6013-2.wav,Placa_6mm,E7018,DC,240826-135150_Audio,1,30.0,0.5
Placa_6mm/E7018/DC/240826-135150_Audio/240826-135150_6013-2.wav,Placa_6mm,E7018,DC,240826-135150_Audio,2,30.0,0.5
Placa_6mm/E7018/DC/240826-135150_Audio/240826-135150_6013-2.wav,Placa_6mm,E7018,DC,240826-135150_Audio,3,30.0,0.5
Placa_6mm/E7018/DC/240826-135150_Audio/240826-135150_6013-2.wav,Placa_6mm,E7018,DC,240826-135150_Audio,4,30.0,0.5
Placa_6mm/E7018/DC/240826-135150_Audio/240826-135150_6013-2.wav,Placa_6mm,E7018,DC,240826-135150_Audio,5,30.0,0.5
Placa_6mm/E7018/DC/240826-135150_Audio/240826-135150_6013-2.wav,Placa_6mm,E7018,DC,240826-135150_Audio,6,30.0,0.5
